Comment,Description,Designator,Footprint,LibRef,Quantity

"Raytac MDBT42Q BT Module","Raytac MDBT42Q BT Module NRF52832 SoC based Bluetooth Module","*1","PCB-dat7rp2to0iz7tu5ms73-1","CMP-zmvss6yk8n2026t4edoz-3","1"
"FCI 68021-116HLF","Conn Unshrouded Header HDR 16 POS 2.54mm Solder RA Thru-Hole Poly Bag","*2, *3","PCB-pbavd7tcfwi858hhr5mn-1","CMP-150dde7448d6caca-3","2"
"10uF","Multilayer Ceramic Capacitors MLCC - 0805 SMD/SMT 4.7uF 16Volts X6S 10%","C1, C7","CAPC2013X135X45ML10T25","CMP-139119-2","2"
"4.7uF","Multilayer Ceramic Capacitors MLCC - 0805 SMD/SMT 4.7uF 16Volts X6S 10%","C2","CAPC2013X135X45ML10T25","CMP-139119-2","1"
"9pF","Multilayer Ceramic Capacitors MLCC - 0805 SMD/SMT 4.7uF 16Volts X6S 10%","C3, C4","CAPC2013X135X45ML10T25","CMP-139119-2","2"
"1uF","Multilayer Ceramic Capacitors MLCC - 0805 SMD/SMT 4.7uF 16Volts X6S 10%","C5","CAPC2013X135X45ML10T25","CMP-139119-2","1"
"0.1uF","Multilayer Ceramic Capacitors MLCC - 0805 SMD/SMT 4.7uF 16Volts X6S 10%","C6, C8","CAPC2013X135X45ML10T25","CMP-139119-2","2"
"BAT54GWJ","Diode Schottky 0.2A Automotive 2-Pin SOD-123 T/R","D1","PCB-9vocbhu4iqy0s6v5ngz6-1","CMP-58fd9562de0e873a-1","1"
"PTC IH:200mA","PTC Resettable Fuse 0.2A(hold) 0.42A(trip) 24VDC 100A 0.6W 0.1s 0.65Ohm SMD Solder Pad 1206 T/R","FR1","PTC-1206","CMP-162adf289c6dc9ed-1","1"
"JST PH-2 connector (Battery)","Lamp; 2.5 V; 0.2 A; 0.200 MSCP; 500 hr; 0.23 in. (Max.); 0.625 in. (Max.); C-2R","J1","PCB-i8dbac1b5x6rvqm7v5xd-1","CMP-eb8b212aa438344c-2","1"
"TE Connectivity / AMP 640454-4","MTA-100 4 Position 2.54 mm Single Row Through-Hole Straight Wire to Board Header","J2","PCBComponent_1","CMP-4e5485075a289193-4","1"
"TE 5520425-3","Connector RJ-25 Female 6 Position 2.54 mm Solder Straight Thru-Hole 6 Terminal 1 Port Cat 3","J3","PCB-cefpzvv37b45k6ern3dd-1","5520425-3","1"
"10uH","Ind General Purpose Chip Shielded Multi-Layer 2.2uH 10% 10MHz 45Q-Factor Ferrite 30mA 0805 Paper T/R","L1","PCB-6xavmov8f9jbkmhuz9jz-1","CMP-8d95449a41975252-2","1"
"BT CONNECT","WHT 2 x 1.25 x 0.8 mm 130° Water Clear 54 mcd 2 V Surface Mount LED","ON1","PCB-mx9kk1rrupqh24oxzoho-1","CMP-6caaa5a82dcdb36d-1","1"
"10k","RESISTOR, 0805, 15K8, 0.1%, 0.125W","R1, R2","RESC2013X60X40ML20T25","CMP-2531519-2","2"
"4M","RESISTOR, 0805, 15K8, 0.1%, 0.125W","R3","RESC2013X60X40ML20T25","CMP-2531519-2","1"
"1K","RESISTOR, 0805, 15K8, 0.1%, 0.125W","R4","RESC2013X60X40ML20T25","CMP-2531519-2","1"
"10M","RESISTOR, 0805, 15K8, 0.1%, 0.125W","R5","RESC2013X60X40ML20T25","CMP-2531519-2","1"
"Copal CL-SB-12B-01T","Switch Slide N.O./N.C. SPDT Top Slide 0.2A 12VDC 10000Cycles Gull Wing SMD T/R","SW1","PCB-9uu377i0ea7oa49ut9v1-1","CMP-eb522328bab63495-5","1"
"MCP73831T-2ATI/OT","Miniature Single-Cell, Fully Integrated Li-Ion, Li-Polymer Charge Management Controller, 4.2V, 5-Pin SOT-23, Industrial Temperature, Tape and Reel","U1","SOT-23-OT5_L","CMP-961386-5","1"
"MCP1700T-3302E/TT","Low Quiescent Current LDO, 3-Pin SOT-23, Extended Temperature, Tape and Reel","U2","SOT-23-TT3_N","CMP-1493168-3","1"
"FC-135 32.768 (7pF)","Crystal 0.032768MHz ±20ppm (Tol) 7pF FUND 70000Ohm 2-Pin SMD T/R","X1","PCB-1zp5wd1v5813cd8flxka-1","CMP-533e9910b4df8cf9-1","1"
"FCI 87024-605TRLF","Conn Unshrouded Header HDR 10 POS 1.27mm Solder ST SMD T/R","X2","PCB-sv1um6pcy0j9gku5nhxe-1","CMP-7911b4617bd7a6d6-1","1"
